REGION,WEEK,YEAR,TOTAL,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B,SEASON
Michigan,43,2016,735.0,3.0,0.0,0.41,0.41,0.0,FALL
Minnesota,43,2016,310.0,1.0,1.0,0.65,0.32,0.32,FALL
Mississippi,43,2016,77.0,0.0,0.0,0.0,0.0,0.0,FALL
Missouri,43,2016,616.0,0.0,0.0,0.0,0.0,0.0,FALL
Montana,43,2016,90.0,2.0,0.0,2.22,2.22,0.0,FALL
Nebraska,43,2016,79.0,0.0,0.0,0.0,0.0,0.0,FALL
Nevada,43,2016,14.0,1.0,0.0,7.14,7.14,0.0,FALL
New Hampshire,43,2016,24.0,1.0,0.0,4.17,4.17,0.0,FALL
New Mexico,43,2016,201.0,2.0,0.0,1.0,1.0,0.0,FALL
New York,43,2016,1537.0,8.0,4.0,0.78,0.52,0.26,FALL
North Carolina,43,2016,225.0,3.0,3.0,2.67,1.33,1.33,FALL
North Dakota,43,2016,18.0,0.0,0.0,0.0,0.0,0.0,FALL
Ohio,43,2016,967.0,0.0,2.0,0.21,0.0,0.21,FALL
Oklahoma,43,2016,158.0,1.0,0.0,0.63,0.63,0.0,FALL
Oregon,43,2016,223.0,13.0,0.0,5.83,5.83,0.0,FALL
Pennsylvania,43,2016,305.0,0.0,1.0,0.33,0.0,0.33,FALL
South Carolina,43,2016,217.0,0.0,0.0,0.0,0.0,0.0,FALL
South Dakota,43,2016,142.0,0.0,0.0,0.0,0.0,0.0,FALL
Tennessee,43,2016,115.0,1.0,4.0,4.35,0.87,3.48,FALL
Texas,43,2016,1174.0,12.0,18.0,2.56,1.02,1.53,FALL
Utah,43,2016,468.0,6.0,0.0,1.28,1.28,0.0,FALL
Vermont,43,2016,68.0,0.0,0.0,0.0,0.0,0.0,FALL
Virginia,43,2016,210.0,0.0,0.0,0.0,0.0,0.0,FALL
Washington,43,2016,470.0,28.0,2.0,6.38,5.96,0.43,FALL
West Virginia,43,2016,386.0,0.0,1.0,0.26,0.0,0.26,FALL
Wisconsin,43,2016,526.0,1.0,1.0,0.38,0.19,0.19,FALL
Puerto Rico,43,2016,0.0,0.0,0.0,0.0,0.0,0.0,FALL
Alabama,44,2016,591.0,15.0,8.0,3.89,2.54,1.35,FALL
Arizona,44,2016,149.0,0.0,0.0,0.0,0.0,0.0,FALL
Arkansas,44,2016,53.0,0.0,0.0,0.0,0.0,0.0,FALL
California,44,2016,728.0,9.0,0.0,1.24,1.24,0.0,FALL
Colorado,44,2016,318.0,3.0,0.0,0.94,0.94,0.0,FALL
Connecticut,44,2016,254.0,4.0,0.0,1.57,1.57,0.0,FALL
Delaware,44,2016,72.0,0.0,0.0,0.0,0.0,0.0,FALL
Georgia,44,2016,684.0,6.0,2.0,1.17,0.88,0.29,FALL
Hawaii,44,2016,190.0,3.0,0.0,1.58,1.58,0.0,FALL
Idaho,44,2016,30.0,0.0,0.0,0.0,0.0,0.0,FALL
Illinois,44,2016,261.0,0.0,0.0,0.0,0.0,0.0,FALL
Indiana,44,2016,104.0,0.0,0.0,0.0,0.0,0.0,FALL
Iowa,44,2016,84.0,1.0,2.0,3.57,1.19,2.38,FALL
Kansas,44,2016,52.0,0.0,0.0,0.0,0.0,0.0,FALL
Kentucky,44,2016,253.0,0.0,0.0,0.0,0.0,0.0,FALL
Louisiana,44,2016,580.0,7.0,3.0,1.72,1.21,0.52,FALL
Maryland,44,2016,100.0,0.0,0.0,0.0,0.0,0.0,FALL
Massachusetts,44,2016,408.0,5.0,2.0,1.72,1.23,0.49,FALL
Michigan,44,2016,771.0,4.0,0.0,0.52,0.52,0.0,FALL
Minnesota,44,2016,311.0,3.0,0.0,0.96,0.96,0.0,FALL
Mississippi,44,2016,80.0,1.0,1.0,2.5,1.25,1.25,FALL
Missouri,44,2016,609.0,0.0,0.0,0.0,0.0,0.0,FALL
Montana,44,2016,95.0,2.0,0.0,2.11,2.11,0.0,FALL
Nebraska,44,2016,103.0,0.0,0.0,0.0,0.0,0.0,FALL
Nevada,44,2016,14.0,1.0,1.0,14.29,7.14,7.14,FALL
New Hampshire,44,2016,20.0,1.0,1.0,10.0,5.0,5.0,FALL
New Mexico,44,2016,230.0,0.0,0.0,0.0,0.0,0.0,FALL
New York,44,2016,1580.0,12.0,2.0,0.89,0.76,0.13,FALL
North Carolina,44,2016,253.0,5.0,6.0,4.35,1.98,2.37,FALL
North Dakota,44,2016,44.0,0.0,0.0,0.0,0.0,0.0,FALL
Ohio,44,2016,1174.0,9.0,9.0,1.53,0.77,0.77,FALL
Oklahoma,44,2016,151.0,2.0,0.0,1.32,1.32,0.0,FALL
Oregon,44,2016,290.0,13.0,1.0,4.83,4.48,0.34,FALL
Pennsylvania,44,2016,346.0,0.0,0.0,0.0,0.0,0.0,FALL
South Carolina,44,2016,230.0,1.0,1.0,0.87,0.43,0.43,FALL
South Dakota,44,2016,126.0,2.0,0.0,1.59,1.59,0.0,FALL
Tennessee,44,2016,125.0,0.0,2.0,1.6,0.0,1.6,FALL
Texas,44,2016,1275.0,12.0,9.0,1.65,0.94,0.71,FALL
Utah,44,2016,480.0,8.0,0.0,1.67,1.67,0.0,FALL
Vermont,44,2016,71.0,0.0,0.0,0.0,0.0,0.0,FALL
Virginia,44,2016,217.0,0.0,0.0,0.0,0.0,0.0,FALL
Washington,44,2016,537.0,16.0,0.0,2.98,2.98,0.0,FALL
West Virginia,44,2016,409.0,0.0,1.0,0.24,0.0,0.24,FALL
Wisconsin,44,2016,580.0,2.0,0.0,0.34,0.34,0.0,FALL
Puerto Rico,44,2016,0.0,0.0,0.0,0.0,0.0,0.0,FALL
Alabama,45,2016,625.0,5.0,1.0,0.96,0.8,0.16,FALL
Arizona,45,2016,143.0,1.0,0.0,0.7,0.7,0.0,FALL
Arkansas,45,2016,57.0,0.0,0.0,0.0,0.0,0.0,FALL
California,45,2016,839.0,10.0,1.0,1.31,1.19,0.12,FALL
Colorado,45,2016,394.0,8.0,0.0,2.03,2.03,0.0,FALL
Connecticut,45,2016,298.0,2.0,0.0,0.67,0.67,0.0,FALL
Delaware,45,2016,90.0,1.0,0.0,1.11,1.11,0.0,FALL
Georgia,45,2016,670.0,7.0,2.0,1.34,1.04,0.3,FALL
Hawaii,45,2016,222.0,5.0,1.0,2.7,2.25,0.45,FALL
Idaho,45,2016,29.0,0.0,0.0,0.0,0.0,0.0,FALL
Illinois,45,2016,277.0,1.0,0.0,0.36,0.36,0.0,FALL
Indiana,45,2016,153.0,0.0,2.0,1.31,0.0,1.31,FALL
Iowa,45,2016,119.0,1.0,0.0,0.84,0.84,0.0,FALL
