YEAR,WEEK,ILITOTAL,TOTAL PATIENTS
2016,52,43,3342
2016,52,423,3508
2016,52,10,711
2016,52,4859,102232
2017,1,275,6268
2017,1,13,1526
2017,1,540,22690
2017,1,56,2913
2017,1,1559,47724
2017,1,65,3434
2017,1,48,1684
2017,1,4,2162
2017,1,142,1809
2017,1,1982,53710
2017,1,38,1101
2017,1,26,1482
2017,1,1267,44772
2017,1,82,3512
2017,1,21,2532
2017,1,163,5673
2017,1,266,10381
2017,1,1767,52476
2017,1,44,4928
2017,1,137,8219
2017,1,356,26478
2017,1,455,20844
2017,1,108,4737
2017,1,622,17872
2017,1,252,5683
2017,1,6,2554
2017,1,41,2772
2017,1,337,17559
2017,1,17,3168
2017,1,888,16113
2017,1,228,10185
2017,1,584,11290
2017,1,293,11433
2017,1,29,672
2017,1,225,15684
2017,1,289,4555
2017,1,190,3671
2017,1,351,12028
2017,1,40,3167
2017,1,212,4705
2017,1,137,8066
2017,1,290,7719
2017,1,1076,25675
2017,1,409,12132
2017,1,22,2252
2017,1,3144,98587
2017,1,97,3823
2017,1,368,20512
2017,1,34,2683
2017,1,65,3776
2017,1,495,4989
2017,1,5,692
2017,1,3776,105185
2017,2,330,8017
2017,2,40,1526
2017,2,585,28242
2017,2,95,3968
2017,2,1490,49675
2017,2,55,3344
2017,2,59,2111
2017,2,18,2842
2017,2,210,2477
2017,2,1923,56700
2017,2,65,1462
2017,2,42,1831
2017,2,1350,46715
2017,2,102,5076
2017,2,29,2781
2017,2,214,6353
2017,2,394,10925
2017,2,1715,53321
2017,2,30,4640
2017,2,187,8396
2017,2,406,30624
2017,2,497,23085
2017,2,142,6044
2017,2,613,18167
2017,2,229,6345
2017,2,13,3307
2017,2,49,2992
2017,2,292,17572
2017,2,22,3546
2017,2,830,16186
2017,2,242,11552
2017,2,736,12392
2017,2,290,13276
2017,2,14,1518
2017,2,272,21267
2017,2,403,4951
2017,2,97,5064
2017,2,358,13371
2017,2,32,3442
2017,2,251,6832
2017,2,170,9029
2017,2,424,10434
2017,2,1450,28641
2017,2,377,13165
2017,2,28,2383
2017,2,2676,79530
