YEAR,%UNWEIGHTED ILI,ILITOTAL,TOTAL PATIENTS
2016.0,2.1243,390.0,18359.0
2016.0,0.219974,5.0,2273.0
2016.0,5.77482,894.0,15481.0
2016.0,2.0295,183.0,9017.0
2016.0,5.42753,537.0,9894.0
2016.0,3.41129,194.0,5687.0
2016.0,0.358852,3.0,836.0
2016.0,1.57742,228.0,14454.0
2016.0,6.1,244.0,4000.0
2016.0,5.786,219.0,3785.0
2016.0,3.13256,298.0,9513.0
2016.0,0.782998,21.0,2682.0
2016.0,4.26055,208.0,4882.0
2016.0,1.41151,104.0,7368.0
2016.0,3.5409,174.0,4914.0
2016.0,4.32471,960.0,22198.0
2016.0,3.89622,449.0,11524.0
2016.0,0.964957,19.0,1969.0
2016.0,3.4293,3203.0,93401.0
2016.0,3.2281,91.0,2819.0
2016.0,2.44053,476.0,19504.0
2016.0,1.3245,22.0,1661.0
2016.0,1.28665,43.0,3342.0
2016.0,12.0582,423.0,3508.0
2016.0,1.40647,10.0,711.0
2016.0,4.75291,4859.0,102232.0
2017.0,4.38736,275.0,6268.0
2017.0,0.8519,13.0,1526.0
2017.0,2.3799,540.0,22690.0
2017.0,1.92242,56.0,2913.0
2017.0,3.2667,1559.0,47724.0
2017.0,1.89284,65.0,3434.0
2017.0,2.85036,48.0,1684.0
2017.0,0.185014,4.0,2162.0
2017.0,7.84964,142.0,1809.0
2017.0,3.69019,1982.0,53710.0
2017.0,3.45141,38.0,1101.0
2017.0,1.75439,26.0,1482.0
2017.0,2.82989,1267.0,44772.0
2017.0,2.33485,82.0,3512.0
2017.0,0.829384,21.0,2532.0
2017.0,2.87326,163.0,5673.0
2017.0,2.56237,266.0,10381.0
2017.0,3.36725,1767.0,52476.0
2017.0,0.892857,44.0,4928.0
2017.0,1.66687,137.0,8219.0
2017.0,1.34451,356.0,26478.0
2017.0,2.18288,455.0,20844.0
2017.0,2.27992,108.0,4737.0
2017.0,3.4803,622.0,17872.0
2017.0,4.43428,252.0,5683.0
2017.0,0.234926,6.0,2554.0
2017.0,1.47908,41.0,2772.0
2017.0,1.91924,337.0,17559.0
2017.0,0.536616,17.0,3168.0
2017.0,5.51108,888.0,16113.0
2017.0,2.23859,228.0,10185.0
2017.0,5.17272,584.0,11290.0
2017.0,2.56276,293.0,11433.0
2017.0,4.31548,29.0,672.0
2017.0,1.43458,225.0,15684.0
2017.0,6.34468,289.0,4555.0
2017.0,5.1757,190.0,3671.0
2017.0,2.91819,351.0,12028.0
